"Exercise","Primary Muscles","Secondary Muscles","Type","Equipment","Level","Body Region","Movement","Modality","Steps for Beginners","Advanced Key Points","Scientific Reference","Sports Tags","ExRx Video","JEFIT Video","CoachWhitt Video"
"Bent Knee Sit-Up","Rectus Abdominis, Hip Flexors","Transverse Abdominis, External Obliques, Internal Obliques","Compound","Bodyweight or Mat","Beginner","Core","Pull","Bodyweight","1. Lie on back, knees bent, feet flat 2. Place hands behind head or across chest 3. Sit up to vertical position 4. Lower with control 5. Keep feet anchored","1. Reduced hip flexor involvement vs straight leg 2. Greater ab activation with modified technique 3. Avoid pulling on neck 4. Exhale on sit-up phase 5. Control eccentric descent","Sullivan W et al. (2015). Modified bent-knee sit-up EMG. J Strength Cond Res 29(12):3472-3479","General Fitness, Soccer, Basketball, Baseball, American Football","[TBD]","[TBD]","[TBD]"
"Bent-Knee Crunch","Rectus Abdominis, External Obliques, Internal Obliques","Transverse Abdominis, Rectus Femoris (minimal)","Isolation","Bodyweight or Mat","Beginner","Core","Pull","Bodyweight","1. Lie on back, knees bent 90° 2. Place hands behind head 3. Lift shoulders off floor 4. Crunch ribs toward hips 5. Lower slowly","1. Standard crunch variation 2. Focus on upper ab flexion 3. Small ROM (shoulders 6-8 inches) 4. Exhale on crunch 5. Avoid pulling neck","Willett GM et al. (2001). Relative ab muscle activity. J Strength Cond Res 15(4):480-485","Golf, Baseball, Running, Tennis, Soccer","[TBD]","[TBD]","[TBD]"
"Crunch (Standard)","Rectus Abdominis, External Obliques, Internal Obliques","Transverse Abdominis","Isolation","Bodyweight or Mat","Beginner","Core","Pull","Bodyweight","1. Lie on back, knees bent or feet elevated 2. Hands behind head or across chest 3. Lift shoulder blades off floor 4. Focus on rib-to-hip movement 5. Lower with control","1. Basic upper ab exercise 2. Short ROM spinal flexion 3. Minimal hip flexor involvement 4. Breathe out on contraction 5. Quality over quantity","Escamilla RF et al. (2006). Core muscle activation EMG study. Strength Cond J","General Fitness, Running, Swimming, Cycling, Basketball","[TBD]","[TBD]","[TBD]"
"Decline Crunch","Rectus Abdominis, External Obliques, Internal Obliques","Transverse Abdominis, Iliopsoas, Rectus Femoris","Compound","Decline Bench","Intermediate","Core","Pull","Bodyweight","1. Secure feet on decline bench 2. Lie back on bench 3. Crunch ribs toward hips 4. Control return to start 5. Avoid full extension at bottom","1. Increased resistance from decline angle 2. Greater ROM than flat crunch 3. Enhanced ab activation 4. Control prevents momentum 5. Progress angle gradually","Urquhart DM et al. (2005). Ab recruitment during exercises. Manual Ther 10(2):144-153","Gymnastics, Diving, Wrestling, Martial Arts, Cheerleading","[TBD]","[TBD]","[TBD]"
"Decline Sit-Up","Rectus Abdominis, Hip Flexors (Iliopsoas, Rectus Femoris)","Transverse Abdominis, External Obliques, Internal Obliques","Compound","Decline Bench","Advanced","Core","Pull","Bodyweight","1. Secure feet on decline bench 2. Lie back fully 3. Sit up to vertical position 4. Lower with control 5. Full ROM movement","1. Advanced sit-up progression 2. Decline increases difficulty 30-40% 3. Greater hip flexor involvement 4. Build core strength progressively 5. Control eccentric phase","Cissik JM (2001). Role of ab training in athletics. Strength Cond J 23(6):84","Gymnastics, Wrestling, Martial Arts, Track & Field, CrossFit","[TBD]","[TBD]","[TBD]"
"Heel Touch","External Obliques, Internal Obliques, Rectus Abdominis","Transverse Abdominis, Quadratus Lumborum","Isolation","Bodyweight or Mat","Beginner","Core","Pull","Bodyweight","1. Lie on back, knees bent, feet flat 2. Lift shoulders slightly off floor 3. Reach right hand to right heel 4. Return to center, reach left to left 5. Alternate sides continuously","1. Lateral flexion emphasis 2. Oblique isolation movement 3. Controlled tempo (2 sec each side) 4. Minimal shoulder lift needed 5. Keep lower back down","ACE Abdominal Exercise Research Program. Oblique EMG patterns","Basketball, Soccer, Tennis, Ice Hockey, Volleyball","[TBD]","[TBD]","[TBD]"
"Sit-Up (Classic)","Rectus Abdominis, Hip Flexors (Rectus Femoris, Iliopsoas)","Transverse Abdominis, External Obliques, Internal Obliques, Tensor Fasciae Latae","Compound","Bodyweight or Mat","Beginner","Core","Pull","Bodyweight","1. Lie on back, knees bent 2. Feet anchored or flat on floor 3. Sit up to vertical 4. Lower with control 5. Hands behind head or across chest","1. Classic abdominal exercise 2. Full spinal flexion ROM 3. Hip flexor contribution significant 4. Military/fitness test standard 5. Control descent to prevent injury","Sullivan W et al. (2015). Traditional vs modified sit-up EMG. J Strength Cond Res 29(12):3472-3479","Military, Sprinting, Soccer, Track & Field, CrossFit","[TBD]","[TBD]","[TBD]"
"Weighted Crunch","Rectus Abdominis, External Obliques, Internal Obliques","Transverse Abdominis, Pectoralis Major, Upper Back Muscles","Isolation","Weight Plate or Medicine Ball, Mat","Intermediate","Core","Pull","Free Weights","1. Lie on back, knees bent 2. Hold weight on chest 3. Perform crunch with added resistance 4. Control throughout ROM 5. Progress weight gradually","1. Progressive overload for crunches 2. External load increases force production 3. Maintain proper form with weight 4. Start light (2.5-5kg) 5. Increased stabilization demand","Andersson EA et al. (1997). EMG activity increases with external resistance. Eur J Appl Physiol 75(2):115-123","American Football, Rugby, Wrestling, Powerlifting, Strongman","[TBD]","[TBD]","[TBD]"
"Inverted Pull-Up (Bodyweight Row)","Latissimus Dorsi, Rhomboids Major/Minor, Middle Trapezius, Posterior Deltoid, Teres Major","Biceps Brachii, Brachialis, Brachioradialis, Erector Spinae, Gluteus Maximus, Lower Trapezius","Compound","Bar or Rings","Beginner","Upper","Pull","Bodyweight","1. Grip bar at waist height 2. Extend body under bar, heels on ground 3. Pull chest to bar 4. Lower with control 5. Keep body rigid","1. Horizontal pulling pattern 2. Scapular retraction crucial 3. Body remains rigid throughout 4. Adjust height for difficulty 5. Progress to feet elevated","Fenwick CM et al. (2009). Comparison of rowing exercises. J Strength Cond Res 23(5):1408-1417","Rowing, Gymnastics, Archery, Rock Climbing, Swimming","[TBD]","[TBD]","[TBD]"
"Assisted Pull-Up","Latissimus Dorsi, Teres Major, Rhomboids Major/Minor, Trapezius (Lower/Middle)","Biceps Brachii, Brachialis, Posterior Deltoid, Infraspinatus, Teres Minor","Compound","Assisted Pull-Up Machine or Band","Beginner","Upper","Pull","Cables or Bodyweight","1. Set assistance level on machine 2. Grip bar with desired width 3. Pull body up until chin over bar 4. Lower with control 5. Build toward unassisted","1. Reduces effective bodyweight load 2. Maintains proper pull-up pattern 3. Progressive overload by reducing assistance 4. Focus on full ROM 5. Scapular depression at start","Snarr RL et al. (2017). EMG comparison of pull-up variations. J Human Kinet 58:5-13","All Sports (developmental), Swimming, Gymnastics, Rock Climbing, CrossFit","[TBD]","[TBD]","[TBD]"
"Close-Grip Lat Pulldown","Latissimus Dorsi, Teres Major, Rhomboids Major/Minor, Lower Trapezius","Biceps Brachii, Brachialis, Posterior Deltoid","Compound","Cable Machine","Intermediate","Upper","Pull","Cables","1. Sit at lat pulldown station 2. Grip bar with narrow/neutral grip 3. Pull bar to upper chest 4. Squeeze shoulder blades together 5. Control return to start","1. Greater ROM than wide grip 2. Increased biceps involvement 3. Neutral grip reduces shoulder stress 4. Full scapular retraction 5. Excellent for lats and mid-back","Signorile JF et al. (2002). EMG of lat pulldown hand positions. J Strength Cond Res 16(4):539-546","Judo, Wrestling, Brazilian Jiu-Jitsu, American Football, Rock Climbing","[TBD]","[TBD]","[TBD]"
"Lat Pulldown (Front)","Latissimus Dorsi, Teres Major, Rhomboids Major/Minor, Trapezius (Lower/Middle)","Biceps Brachii, Brachialis, Brachioradialis, Posterior Deltoid, Infraspinatus, Teres Minor","Compound","Cable Machine","Beginner","Upper","Pull","Cables","1. Sit at lat pulldown station 2. Grip bar with wide pronated grip 3. Pull bar to upper chest 4. Retract shoulder blades 5. Control return upward","1. Greatest lat EMG with wide pronated grip 2. Primary vertical pulling exercise 3. Pull to upper chest not behind neck 4. Lean back slightly (10-15°) 5. Full ROM for lat development","Lehman GJ et al. (2004). Muscle activation in lat exercises. Dynamic Med 3(1):4","Swimming, Rock Climbing, Rowing, Gymnastics, CrossFit","[TBD]","[TBD]","[TBD]"
